mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Ksour Essaf;قصور الساف;Liste partisane;El Binaa Al Watani;فك بلاصتك;132;0,022571819;0;15764;91;93;5848;6032
Tataouine;تطاوين;Liste partisane;El Binaa Al Watani;فك بلاصتك;111;0,012613636;0;37780;211;153;8800;9164
Ben Arous;بن عروس;Liste partisane;El Binaa Al Watani;فك بلاصتك;273;0,022981732;0;46708;536;246;11879;12661
Ajim;اجيم;Liste partisane;Ennahdha;حزب حركة النھضة;2314;0,628292153;11;10177;162;80;3683;3925
Ariana;أريانة;Liste partisane;Ennahdha;حزب حركة النھضة;4109;0,139895138;6;76783;456;335;29372;30163
Azmour;أزمور;Liste partisane;Ennahdha;حزب حركة النھضة;558;0,362337662;8;3822;47;40;1540;1627
Akouda;أكودة;Liste partisane;Ennahdha;حزب حركة النھضة;806;0,149038462;3;12703;136;87;5408;5631
El Ahouaz Lassouda;لسودة;Liste partisane;Ennahdha;حزب حركة النھضة;664;0,296958855;5;8595;77;44;2236;2357
El Bradaa;البرادعة;Liste partisane;Ennahdha;حزب حركة النھضة;457;0,152689609;3;6872;194;72;2993;3259
El Bassatine;البساتين;Liste partisane;Ennahdha;حزب حركة النھضة;947;0,468579911;8;5549;144;78;2021;2243
El Battane;البطان;Liste partisane;Ennahdha;حزب حركة النھضة;791;0,401115619;7;8969;145;101;1972;2218
Bekalta;البقالطة;Liste partisane;Ennahdha;حزب حركة النھضة;511;0,113808463;2;8349;127;55;4490;4672
Cité Ettadhamen;التضامن;Liste partisane;Ennahdha;حزب حركة النھضة;3651;0,549849398;16;35966;402;218;6640;7260
Djedaïda;الجديدة;Liste partisane;Ennahdha;حزب حركة النھضة;2065;0,314546839;7;20932;303;157;6565;7025
DJerissa;الجريصة;Liste partisane;Ennahdha;حزب حركة النھضة;392;0,207847296;3;5938;170;82;1886;2138
El Djem;الجم;Liste partisane;Ennahdha;حزب حركة النھضة;1718;0,362600253;9;11693;164;120;4738;5022
Jouaouda;الجواودة;Liste partisane;Ennahdha;حزب حركة النھضة;685;0,45154911;8;5476;109;60;1517;1686
El Hajeb;الحاجب;Liste partisane;Ennahdha;حزب حركة النھضة;797;0,342648323;6;7521;85;43;2326;2454
El Hamma;الحامة;Liste partisane;Ennahdha;حزب حركة النھضة;3094;0,46659629;14;23036;320;127;6631;7078
El Hbabsa;الحبابسة;Liste partisane;Ennahdha;حزب حركة النھضة;201;0,248148148;3;2680;108;19;810;937
Habib Thameur;الحبيب ثامر - بوعطوش;Liste partisane;Ennahdha;حزب حركة النھضة;2216;0,550285572;10;14238;219;80;4027;4326
El Hchachna;الحشاشنة;Liste partisane;Ennahdha;حزب حركة النھضة;588;0,271092669;5;6922;147;68;2169;2384
El Hekaima;الحكايمة;Liste partisane;Ennahdha;حزب حركة النھضة;577;0,302094241;5;4960;133;40;1910;2083
