mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Sousse;سوسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;6947;9;102744;921;561;30012;31494
Souk El Ahed;سوق الأحد;Liste partisane;Nidaa Tounes;حركة نداء تونس;240;1;12666;158;93;3515;3766
Souk Jedid;سوق الجديد;Liste partisane;Nidaa Tounes;حركة نداء تونس;458;2;13361;277;118;5158;5553
Souk Essebt;سوق السبت;Liste partisane;Nidaa Tounes;حركة نداء تونس;353;4;5202;98;39;1526;1663
Sidi Smail;سيدي إسماعيل;Liste partisane;Nidaa Tounes;حركة نداء تونس;171;1;3730;122;19;1359;1500
Sidi Jadidi;سيدي الجديدي;Liste partisane;Nidaa Tounes;حركة نداء تونس;295;3;5483;86;54;1896;2036
Sidi El Heni;سيدي الهاني;Liste partisane;Nidaa Tounes;حركة نداء تونس;1226;10;5701;152;80;2155;2387
Sidi Bennour;سيدي بنور;Liste partisane;Nidaa Tounes;حركة نداء تونس;286;3;2012;23;21;1146;1190
Sidi Boubaker;سيدي بوبكر;Liste partisane;Nidaa Tounes;حركة نداء تونس;323;2;2587;69;21;1689;1779
Sidi Bouzid;سيدي بوزيد;Liste partisane;Nidaa Tounes;حركة نداء تونس;2735;9;41689;295;132;9987;10414
Sidi Bou Said;سيدي بوسعيد;Liste partisane;Nidaa Tounes;حركة نداء تونس;1382;6;5336;64;42;2728;2834
