mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Zaouiet Kontoch;زاوية قنطش;Liste partisane;Ennahdha;حزب حركة النھضة;323;2;3486;38;22;1755;1815
Zeramdine;زرمدين;Liste partisane;Ennahdha;حزب حركة النھضة;980;5;7449;121;48;3574;3743
Zaghouan;زغوان;Liste partisane;Ennahdha;حزب حركة النھضة;1068;3;20161;297;183;7225;7705
Zahret Medien;زهرة مدين;Liste partisane;Ennahdha;حزب حركة النھضة;623;4;9975;258;64;2946;3268
Sakiet Eddaeir;ساقية الداير;Liste partisane;Ennahdha;حزب حركة النھضة;4433;12;23195;225;147;9146;9518
Sakiet Ezzit;ساقية الزيت;Liste partisane;Ennahdha;حزب حركة النھضة;4818;11;32535;220;193;13442;13855
Sakiet Sidi Youssef;ساقية سيدي يوسف;Liste partisane;Ennahdha;حزب حركة النھضة;968;7;7995;240;82;2373;2695
Cebalet Ouled Asker;سبالة أولاد عسكر;Liste partisane;Ennahdha;حزب حركة النھضة;1309;5;13619;207;69;4358;4634
Sbiba;سبيبة;Liste partisane;Ennahdha;حزب حركة النھضة;1252;5;15188;167;122;6301;6590
Sbeitla;سبيطلة;Liste partisane;Ennahdha;حزب حركة النھضة;1232;4;18341;351;151;7279;7781
Sejnane;سجنان;Liste partisane;Ennahdha;حزب حركة النھضة;1103;5;10470;278;85;3978;4341
Essaida;سعيدة;Liste partisane;Ennahdha;حزب حركة النھضة;965;4;11266;157;96;4619;4872
Soukra;سكرة;Liste partisane;Ennahdha;حزب حركة النھضة;3967;10;51175;387;457;14094;14938
Siliana;سليانة;Liste partisane;Ennahdha;حزب حركة النھضة;1063;4;22943;306;130;6561;6997
Soliman;سليمان;Liste partisane;Ennahdha;حزب حركة النھضة;2202;6;18888;272;136;9045;9453
Sousse;سوسة;Liste partisane;Ennahdha;حزب حركة النھضة;6473;8;102744;921;561;30012;31494
Souk El Ahed;سوق الأحد;Liste partisane;Ennahdha;حزب حركة النھضة;1042;5;12666;158;93;3515;3766
Souk Jedid;سوق الجديد;Liste partisane;Ennahdha;حزب حركة النھضة;782;3;13361;277;118;5158;5553
Souk Essebt;سوق السبت;Liste partisane;Ennahdha;حزب حركة النھضة;539;6;5202;98;39;1526;1663
Sidi Smail;سيدي إسماعيل;Liste partisane;Ennahdha;حزب حركة النھضة;246;2;3730;122;19;1359;1500
Sidi Jadidi;سيدي الجديدي;Liste partisane;Ennahdha;حزب حركة النھضة;399;4;5483;86;54;1896;2036
Sidi El Heni;سيدي الهاني;Liste partisane;Ennahdha;حزب حركة النھضة;929;8;5701;152;80;2155;2387
Sidi Bennour;سيدي بنور;Liste partisane;Ennahdha;حزب حركة النھضة;57;1;2012;23;21;1146;1190
Sidi Boubaker;سيدي بوبكر;Liste partisane;Ennahdha;حزب حركة النھضة;270;2;2587;69;21;1689;1779
Sidi Bouzid;سيدي بوزيد;Liste partisane;Ennahdha;حزب حركة النھضة;2712;9;41689;295;132;9987;10414
Sidi Bou Said;سيدي بوسعيد;Liste partisane;Ennahdha;حزب حركة النھضة;261;1;5336;64;42;2728;2834
Sidi Bouali;سيدي بوعلي;Liste partisane;Ennahdha;حزب حركة النھضة;748;3;9478;159;72;4601;4832
Sidi Thabet;سيدي ثابت;Liste partisane;Ennahdha;حزب حركة النھضة;1241;6;10100;147;60;3719;3926
Sidi Hassine;سيدي حسين;Liste partisane;Ennahdha;حزب حركة النھضة;3723;16;38119;392;296;8484;9172
